"GEO_ID","NAME","C16001_001E","C16001_001M","C16001_002E","C16001_002M","C16001_003E","C16001_003M","C16001_004E","C16001_004M","C16001_005E","C16001_005M","C16001_006E","C16001_006M","C16001_007E","C16001_007M","C16001_008E","C16001_008M","C16001_009E","C16001_009M","C16001_010E","C16001_010M","C16001_011E","C16001_011M","C16001_012E","C16001_012M","C16001_013E","C16001_013M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Speak only English","Margin of Error!!Total!!Speak only English","Estimate!!Total!!Spanish or Spanish Creole","Margin of Error!!Total!!Spanish or Spanish Creole","Estimate!!Total!!French (including Patois, Creole, Cajun)","Margin of Error!!Total!!French (including Patois, Creole, Cajun)","Estimate!!Total!!German or other West Germanic languages","Margin of Error!!Total!!German or other West Germanic languages","Estimate!!Total!!Slavic languages","Margin of Error!!Total!!Slavic languages","Estimate!!Total!!Other Indo-European languages","Margin of Error!!Total!!Other Indo-European languages","Estimate!!Total!!Korean","Margin of Error!!Total!!Korean","Estimate!!Total!!Chinese","Margin of Error!!Total!!Chinese","Estimate!!Total!!Vietnamese","Margin of Error!!Total!!Vietnamese","Estimate!!Total!!Tagalog","Margin of Error!!Total!!Tagalog","Estimate!!Total!!Other Asian and Pacific Island languages","Margin of Error!!Total!!Other Asian and Pacific Island languages","Estimate!!Total!!Other and unspecified languages","Margin of Error!!Total!!Other and unspecified languages"
"0500000US48439","Tarrant County, Texas","1705753","365","1247491","12849","349514","11275","5317","2033","2338","638","4793","2070","24488","4932","2944","1490","6024","1701","26743","4798","6838","2610","10366","2794","18897","5122"
"0500000US48453","Travis County, Texas","984391","320","668559","7683","247333","7449","5249","2194","3435","1444","3694","1692","16988","2807","5153","1592","9006","1983","10132","3064","836","595","9429","2853","4577","1954"
"0500000US48485","Wichita County, Texas","121556","807","106184","2046","12303","1862","102","174","505","354","0","218","198","232","63","80","195","183","852","634","292","444","614","591","248","219"
"0500000US48491","Williamson County, Texas","409981","1060","324558","7186","61678","6321","1401","680","3287","1392","1671","1544","7769","2487","2388","1843","2047","1231","1206","1251","350","345","2324","1069","1302","831"
"0500000US49005","Cache County, Utah","103528","286","87956","1791","10997","1589","463","295","372","290","294","244","572","465","122","213","473","414","741","583","91","128","829","529","618","317"
"0500000US49011","Davis County, Utah","280952","147","256314","3051","14788","2488","1192","806","1410","581","437","284","1756","804","244","220","673","438","129","218","529","316","1868","664","1612","1134"
"0500000US49035","Salt Lake County, Utah","958456","*****","761795","8307","126718","6539","1837","794","4613","1059","6451","1819","16132","3876","1785","805","5920","1600","7273","2074","1620","696","16369","2228","7943","2470"
"0500000US49049","Utah County, Utah","472077","601","406954","3921","46870","3568","1327","841","1365","655","2228","1096","3392","1186","2113","1226","2214","855","234","291","1134","873","3365","1656","881","610"
"0500000US49057","Weber County, Utah","214169","350","182975","3333","26507","3322","89","108","1061","578","99","121","1078","574","491","435","71","94","240","400","438","394","727","596","393","320"
