"GEO_ID","NAME","C16001_001E","C16001_001M","C16001_002E","C16001_002M","C16001_003E","C16001_003M","C16001_004E","C16001_004M","C16001_005E","C16001_005M","C16001_006E","C16001_006M","C16001_007E","C16001_007M","C16001_008E","C16001_008M","C16001_009E","C16001_009M","C16001_010E","C16001_010M","C16001_011E","C16001_011M","C16001_012E","C16001_012M","C16001_013E","C16001_013M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Speak only English","Margin of Error!!Total!!Speak only English","Estimate!!Total!!Spanish or Spanish Creole","Margin of Error!!Total!!Spanish or Spanish Creole","Estimate!!Total!!French (including Patois, Creole, Cajun)","Margin of Error!!Total!!French (including Patois, Creole, Cajun)","Estimate!!Total!!German or other West Germanic languages","Margin of Error!!Total!!German or other West Germanic languages","Estimate!!Total!!Slavic languages","Margin of Error!!Total!!Slavic languages","Estimate!!Total!!Other Indo-European languages","Margin of Error!!Total!!Other Indo-European languages","Estimate!!Total!!Korean","Margin of Error!!Total!!Korean","Estimate!!Total!!Chinese","Margin of Error!!Total!!Chinese","Estimate!!Total!!Vietnamese","Margin of Error!!Total!!Vietnamese","Estimate!!Total!!Tagalog","Margin of Error!!Total!!Tagalog","Estimate!!Total!!Other Asian and Pacific Island languages","Margin of Error!!Total!!Other Asian and Pacific Island languages","Estimate!!Total!!Other and unspecified languages","Margin of Error!!Total!!Other and unspecified languages"
"0500000US25025","Suffolk County, Massachusetts","683936","3","430420","7826","120478","3103","33042","4784","2221","793","10121","2241","31648","4328","2968","983","22661","3070","10425","3465","975","550","5188","1552","13789","3115"
"0500000US25027","Worcester County, Massachusetts","752695","203","618359","8458","55426","3156","14341","4319","1053","722","6380","2230","27002","5063","1213","676","4772","1517","5794","1986","1050","669","6904","1988","10401","2721"
"0500000US26021","Berrien County, Michigan","147240","246","135873","1489","5827","739","581","550","1231","436","357","250","1461","575","481","383","129","136","193","224","0","244","378","251","729","798"
"0500000US26045","Eaton County, Michigan","101911","299","96176","1639","2707","914","108","110","249","247","172","149","467","355","0","244","460","383","160","245","10","17","524","396","878","1368"
"0500000US26049","Genesee County, Michigan","397924","261","383686","1932","4882","1239","815","456","1178","473","820","522","1563","659","430","259","679","585","0","244","481","287","999","570","2391","1203"
"0500000US26065","Ingham County, Michigan","264703","79","233158","2898","9797","1456","1636","865","930","473","1460","778","3869","1030","1996","1134","4363","1207","1432","957","0","244","2753","1202","3309","1799"
"0500000US26073","Isabella County, Michigan","66673","247","63762","542","744","395","136","124","141","111","211","159","13","24","15","29","716","301","77","127","112","135","26","31","720","348"
"0500000US26075","Jackson County, Michigan","150370","335","143932","1331","3104","870","483","427","487","338","403","251","801","839","0","244","206","264","40","65","230","302","463","394","221","210"
"0500000US26077","Kalamazoo County, Michigan","235299","265","219894","2532","5810","1329","1011","535","1559","632","389","296","1452","832","383","393","1170","866","199","249","331","369","610","562","2491","1501"
"0500000US26081","Kent County, Michigan","559010","315","502434","3763","33063","3214","1400","677","2077","650","3062","1273","4213","1321","1070","606","786","483","5805","1177","477","397","1357","708","3266","1841"
"0500000US26093","Livingston County, Michigan","170908","304","164252","1384","3527","955","516","426","440","395","636","393","536","406","155","214","0","244","0","244","247","271","258","331","341","569"
