"GEO_ID","NAME","C16001_001E","C16001_001M","C16001_002E","C16001_002M","C16001_003E","C16001_003M","C16001_004E","C16001_004M","C16001_005E","C16001_005M","C16001_006E","C16001_006M","C16001_007E","C16001_007M","C16001_008E","C16001_008M","C16001_009E","C16001_009M","C16001_010E","C16001_010M","C16001_011E","C16001_011M","C16001_012E","C16001_012M","C16001_013E","C16001_013M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Speak only English","Margin of Error!!Total!!Speak only English","Estimate!!Total!!Spanish or Spanish Creole","Margin of Error!!Total!!Spanish or Spanish Creole","Estimate!!Total!!French (including Patois, Creole, Cajun)","Margin of Error!!Total!!French (including Patois, Creole, Cajun)","Estimate!!Total!!German or other West Germanic languages","Margin of Error!!Total!!German or other West Germanic languages","Estimate!!Total!!Slavic languages","Margin of Error!!Total!!Slavic languages","Estimate!!Total!!Other Indo-European languages","Margin of Error!!Total!!Other Indo-European languages","Estimate!!Total!!Korean","Margin of Error!!Total!!Korean","Estimate!!Total!!Chinese","Margin of Error!!Total!!Chinese","Estimate!!Total!!Vietnamese","Margin of Error!!Total!!Vietnamese","Estimate!!Total!!Tagalog","Margin of Error!!Total!!Tagalog","Estimate!!Total!!Other Asian and Pacific Island languages","Margin of Error!!Total!!Other Asian and Pacific Island languages","Estimate!!Total!!Other and unspecified languages","Margin of Error!!Total!!Other and unspecified languages"
"0500000US01073","Jefferson County, Alabama","614484","74","575098","3299","23497","2883","2212","1278","814","492","692","740","4695","1437","651","369","2350","1140","509","590","48","88","1177","671","2741","1263"
"0500000US01081","Lee County, Alabama","138462","638","130327","1497","3152","975","272","308","469","419","133","164","907","501","1000","732","563","603","543","426","71","121","604","685","421","678"
"0500000US01089","Madison County, Alabama","322617","302","300929","2665","9102","1892","1230","632","2015","834","396","362","3247","1510","275","284","423","377","1087","740","603","397","1263","592","2047","941"
"0500000US01097","Mobile County, Alabama","385967","81","365984","2143","10656","1417","998","512","851","471","0","184","1762","1049","40","76","613","636","3622","2043","215","247","216","176","1010","647"
"0500000US01101","Montgomery County, Alabama","213917","73","200889","1425","4824","1442","567","366","462","297","37","62","1587","876","2334","1003","579","651","0","184","427","369","664","503","1547","1480"
"0500000US01117","Shelby County, Alabama","188290","260","170560","2168","10782","1131","511","315","748","719","265","363","1170","818","552","610","652","651","80","134","292","321","1919","1224","759","436"
"0500000US02020","Anchorage Municipality, Alaska","276551","*****","224102","4179","15708","2539","1786","1280","1262","528","1386","732","1033","673","2124","1148","587","416","609","725","9111","3572","13407","2914","5436","1652"
"0500000US02090","Fairbanks North Star Borough, Alaska","92722","902","83441","2406","2668","926","762","800","1270","1478","357","297","157","257","91","120","71","100","0","143","404","298","2156","1101","1345","894"
"0500000US02170","Matanuska-Susitna Borough, Alaska","87392","234","80947","1368","1208","404","116","105","265","189","1618","1132","353","174","93","61","354","387","114","159","359","434","1013","662","952","385"
"0500000US04003","Cochise County, Arizona","124222","268","90969","2406","28848","1839","205","173","933","527","679","466","225","150","201","281","232","246","494","444","1163","600","194","191","79","80"
"0500000US04005","Coconino County, Arizona","127656","224","97504","2497","9895","1875","368","370","495","403","374","300","316","284","0","198","987","777","53","90","424","500","300","289","16940","1640"
"0500000US04013","Maricopa County, Arizona","3668010","*****","2688529","16244","763612","14962","9802","1601","15126","2258","22203","3570","47022","5290","6805","1896","20319","3292","17690","3222","14554","2638","25291","4097","37057","4092"
"0500000US04015","Mohave County, Arizona","193189","276","171461","2072","17863","1824","445","637","364","284","128","122","422","440","73","88","81","123","0","198","338","273","928","427","1086","469"
"0500000US04019","Pima County, Arizona","931643","118","660840","7261","222145","6552","4203","1192","4568","1345","2976","1123","7830","1890","2537","1203","5677","1987","1497","726","2894","899","6481","2285","9995","2148"
"0500000US04021","Pinal County, Arizona","361053","1050","279541","5819","67858","5011","854","546","1663","669","862","599","1943","962","28","49","311","372","77","103","3040","1212","733","356","4143","1195"
"0500000US04025","Yavapai County, Arizona","203037","522","182971","3029","14705","2618","470","362","1461","676","401","369","762","439","149","225","0","198","0","198","119","193","923","963","1076","452"
