"GEO_ID","NAME","C16001_001E","C16001_001M","C16001_002E","C16001_002M","C16001_003E","C16001_003M","C16001_004E","C16001_004M","C16001_005E","C16001_005M","C16001_006E","C16001_006M","C16001_007E","C16001_007M","C16001_008E","C16001_008M","C16001_009E","C16001_009M","C16001_010E","C16001_010M","C16001_011E","C16001_011M","C16001_012E","C16001_012M","C16001_013E","C16001_013M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Speak only English","Margin of Error!!Total!!Speak only English","Estimate!!Total!!Spanish or Spanish Creole","Margin of Error!!Total!!Spanish or Spanish Creole","Estimate!!Total!!French (including Patois, Creole, Cajun)","Margin of Error!!Total!!French (including Patois, Creole, Cajun)","Estimate!!Total!!German or other West Germanic languages","Margin of Error!!Total!!German or other West Germanic languages","Estimate!!Total!!Slavic languages","Margin of Error!!Total!!Slavic languages","Estimate!!Total!!Other Indo-European languages","Margin of Error!!Total!!Other Indo-European languages","Estimate!!Total!!Korean","Margin of Error!!Total!!Korean","Estimate!!Total!!Chinese","Margin of Error!!Total!!Chinese","Estimate!!Total!!Vietnamese","Margin of Error!!Total!!Vietnamese","Estimate!!Total!!Tagalog","Margin of Error!!Total!!Tagalog","Estimate!!Total!!Other Asian and Pacific Island languages","Margin of Error!!Total!!Other Asian and Pacific Island languages","Estimate!!Total!!Other and unspecified languages","Margin of Error!!Total!!Other and unspecified languages"
"0500000US48453","Travis County, Texas","1072254","172","733088","9310","261399","7016","6257","2558","3405","1196","4079","1423","19711","3482","5505","1503","10320","2254","10296","2655","1957","1261","9413","2251","6824","2213"
"0500000US48491","Williamson County, Texas","455854","184","363452","5513","62621","4528","1503","777","1706","1049","1027","553","8311","2371","1310","767","3457","1277","3587","2387","1394","684","5542","1554","1944","1608"
"0500000US49005","Cache County, Utah","107365","276","93373","1890","9567","1548","425","479","284","199","348","289","901","440","0","184","1266","678","0","184","86","103","773","801","342","308"
"0500000US49011","Davis County, Utah","300615","460","273176","2985","18133","2612","457","315","1158","633","269","233","2409","851","198","198","1038","693","669","527","716","424","2005","780","387","345"
"0500000US49035","Salt Lake County, Utah","1003896","533","799614","9517","132424","6944","4040","1276","3404","880","5190","1447","14492","3976","970","529","8472","1928","7051","2293","834","572","18639","3028","8766","2996"
"0500000US49049","Utah County, Utah","503987","*****","437806","3716","48197","3085","1941","641","1776","525","634","343","4010","1105","1113","672","1341","561","498","369","1015","534","3777","1037","1879","1004"
"0500000US49053","Washington County, Utah","141389","320","128133","2224","9204","1850","264","228","880","644","192","230","911","619","209","308","90","126","0","184","311","289","812","454","383","311"
"0500000US49057","Weber County, Utah","221831","439","191117","3485","25663","3056","0","184","587","313","40","64","1092","514","89","121","774","675","586","599","258","281","750","521","875","664"
"0500000US50007","Chittenden County, Vermont","151831","580","139097","1651","1761","801","2366","730","527","372","1727","1019","4270","1069","44","59","575","423","151","165","65","89","260","261","988","641"
"0500000US51003","Albemarle County, Virginia","99188","524","86544","1870","5194","820","375","355","207","212","366","472","2271","732","395","251","1227","567","174","226","192","160","816","581","1427","1283"
"0500000US51013","Arlington County, Virginia","212828","*****","152601","3536","27400","2432","2022","739","385","231","1723","855","8385","2149","893","478","5026","1324","1309","826","386","289","5180","1277","7518","2009"
"0500000US51041","Chesterfield County, Virginia","313498","348","277827","2872","19567","1950","958","398","1767","913","893","659","4037","1994","793","693","1101","609","1114","846","1163","694","1615","819","2663","1262"
"0500000US51059","Fairfax County, Virginia","1061222","214","659823","10579","131907","6477","8971","1962","3979","1096","10903","2498","73898","6404","37445","5514","20493","2763","29684","4458","9315","2151","27354","3600","47450","6853"
"0500000US51085","Hanover County, Virginia","96805","536","92607","1062","1713","550","139","122","332","365","385","395","131","147","219","167","192","136","199","169","404","379","184","210","300","271"
"0500000US51087","Henrico County, Virginia","301694","59","256433","3473","13876","1358","332","199","1295","602","3531","1564","10166","2115","243","276","1954","876","2613","1146","1142","856","5655","1691","4454","1885"
"0500000US51107","Loudoun County, Virginia","334944","210","225951","6420","39355","4715","3061","987","1852","914","4622","2541","23538","3710","2920","1159","4708","1432","4919","2672","2714","1077","13415","2532","7889","2841"
"0500000US51121","Montgomery County, Virginia","93129","379","83796","2144","1902","647","10","20","557","423","149","221","1817","1512","1082","1037","1893","978","211","292","136","158","74","138","1502","990"
"0500000US51153","Prince William County, Virginia","410418","262","279155","5758","72477","3974","3216","1636","1304","831","1341","483","17566","2720","3886","1825","1862","719","2576","1147","3880","1239","4765","1557","18390","3866"
"0500000US51177","Spotsylvania County, Virginia","121327","203","107752","2173","7902","1485","278","352","179","185","43","71","2937","1152","139","169","0","195","256","230","314","295","110","116","1417","1312"
